P004001	TotPop_PctPopSample	Total population: Percent of the population in sample
P005001	TotPop_Tot	Total population: Total:
P005002	TotPop_Urban	Total population: Urban:
P005003	TotPop_Urban_UrbArea	Total population: Urban: Inside urbanized areas
P005004	TotPop_Urban_UrbClust	Total population: Urban: Inside urban clusters
P005005	TotPop_Rural	Total population: Rural:
P005006	TotPop_Rural_Farm	Total population: Rural: Farm
P005007	TotPop_Rural_Nonfarm	Total population: Rural: Nonfarm
P006001	TotPop_Tot	Total population: Total:
P006002	TotPop_WhtAln	Total population: White alone
P006003	TotPop_BlkAfAmAln	Total population: Black or African American alone
P006004	TotPop_AmIndAkNatAlone	Total population: American Indian and Alaska Native alone
P006005	TotPop_AsianAln	Total population: Asian alone
P006006	TotPop_NatHawOthPacIsl	Total population: Native Hawaiian and Other Pacific Islander alone
P006007	TotPop_OthRceAlone	Total population: Some other race alone
P006008	TotPop_Gte2Rce	Total population: Two or more races
P007001	TotPop_Tot	Total population: Total:
P007002	TotPop_NotHisp	Total population: Not Hispanic or Latino:
P007003	TotPop_NotHisp_WhtAln	Total population: Not Hispanic or Latino: White alone
P007004	TotPop_NotHisp_BlkAfAmAln	Total population: Not Hispanic or Latino: Black or African American alone
P007005	TotPop_NotHisp_AmIndAkNatAlone	Total population: Not Hispanic or Latino: American Indian and Alaska Native alone
P007006	TotPop_NotHisp_AsianAln	Total population: Not Hispanic or Latino: Asian alone
P007007	TotPop_NotHisp_NatHawOthPacIsl	Total population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone
P007008	TotPop_NotHisp_OthRceAlone	Total population: Not Hispanic or Latino: Some other race alone
P007009	TotPop_NotHisp_Gte2Rce	Total population: Not Hispanic or Latino: Two or more races
P007010	TotPop_Hisp	Total population: Hispanic or Latino:
P007011	TotPop_Hisp_WhtAln	Total population: Hispanic or Latino: White alone
P007012	TotPop_Hisp_BlkAfAmAln	Total population: Hispanic or Latino: Black or African American alone
P007013	TotPop_Hisp_AmIndAkNatAlone	Total population: Hispanic or Latino: American Indian and Alaska Native alone
P007014	TotPop_Hisp_AsianAln	Total population: Hispanic or Latino: Asian alone
P007015	TotPop_Hisp_NatHawOthPacIsl	Total population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone
P007016	TotPop_Hisp_OthRceAlone	Total population: Hispanic or Latino: Some other race alone
P007017	TotPop_Hisp_Gte2Rce	Total population: Hispanic or Latino: Two or more races
P008001	TotPop_Tot	Total population: Total:
P008002	TotPop_Mle	Total population: Male:
P008003	TotPop_Mle_Lt1y	Total population: Male: Under 1 year
P008004	TotPop_Mle_1y	Total population: Male: 1 year
P008005	TotPop_Mle_2y	Total population: Male: 2 years
P008006	TotPop_Mle_3y	Total population: Male: 3 years
P008007	TotPop_Mle_4y	Total population: Male: 4 years
P008008	TotPop_Mle_5y	Total population: Male: 5 years
P008009	TotPop_Mle_6y	Total population: Male: 6 years
P008010	TotPop_Mle_7y	Total population: Male: 7 years
