ZipCode	Zip Code
LogRecNum	Logical Record Number
EmplCivGtePop16y_Tot	Employed civilian population 16 years and over: Total:
EmplCivGtePop16y_Mle	Employed civilian population 16 years and over: Male:
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining:
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_PrivProfWageSa_005	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Private for-profit wage and salary workers:
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_PrivProfWageSa_006	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Private for-profit wage and salary workers: Employee of private company
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_PrivProfWageSa_007	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Private for-profit wage and salary workers: Self-employed in own incorporated business
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_Occ043	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Private not-for-profit wage and salary workers
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_Occ032	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Local government workers
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_Occ051	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: State government workers
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_Occ019	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Federal government workers
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_SelfEmplWrkrsO_008	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Self-employed workers in own not incorporated business
EmplCivGtePop16y_Mle_AllIndExcAgForFishHuntMin_UnpaidFamWrkr	Employed civilian population 16 years and over: Male: All industries except agriculture, forestry, fishing and hunting, and mining: Unpaid family workers
EmplCivGtePop16y_Mle_AgForFishHuntMin	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining:
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting:
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_PrivProfW_009	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Private for-profit wage and salary workers:
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_PrivProfW_010	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Private for-profit wage and salary workers: Employee of private company
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_PrivProfW_011	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Private for-profit wage and salary workers: Self-employed in own incorporated business
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_Occ043	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Private not-for-profit wage and salary workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_Occ032	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Local government workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_Occ051	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: State government workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_Occ019	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Federal government workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_SelfEmplW_012	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Self-employed workers in own not incorporated business
EmplCivGtePop16y_Mle_AgForFishHuntMin_AgForFishHunt_UnpaidFam_013	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Agriculture, forestry, fishing and hunting: Unpaid family workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining:
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_PrivProfWageSalWork	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Private for-profit wage and salary workers:
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_PrivProfWageSalW_014	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Private for-profit wage and salary workers: Employee of private company
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_PrivProfWageSalW_015	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Private for-profit wage and salary workers: Self-employed in own incorporated business
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_Occ043	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Private not-for-profit wage and salary workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_Occ032	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Local government workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_Occ051	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: State government workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_Occ019	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Federal government workers
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_SelfEmplWrkrsOwn_016	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Self-employed workers in own not incorporated business
EmplCivGtePop16y_Mle_AgForFishHuntMin_Mining_UnpaidFamWrkr	Employed civilian population 16 years and over: Male: Agriculture, forestry, fishing and hunting, and mining: Mining: Unpaid family workers
EmplCivGtePop16y_Fem	Employed civilian population 16 years and over: Female:
EmplCivGtePop16y_Fem_AllIndExcAgForFishHuntMin	Employed civilian population 16 years and over: Female: All industries except agriculture, forestry, fishing and hunting, and mining:
EmplCivGtePop16y_Fem_AllIndExcAgForFishHuntMin_PrivProfWageSa_017	Employed civilian population 16 years and over: Female: All industries except agriculture, forestry, fishing and hunting, and mining: Private for-profit wage and salary workers:
EmplCivGtePop16y_Fem_AllIndExcAgForFishHuntMin_PrivProfWageSa_018	Employed civilian population 16 years and over: Female: All industries except agriculture, forestry, fishing and hunting, and mining: Private for-profit wage and salary workers: Employee of private company
