ZipCode	Zip Code
LogRecNum	Logical Record Number
HHWHhGte2Rce_Tot	Households with a householder who is Two or more races: Total:
HHWHhGte2Rce_HhLt25y	Households with a householder who is Two or more races: Householder under 25 years:
HHWHhGte2Rce_HhLt25y_LtUsd10k	Households with a householder who is Two or more races: Householder under 25 years: Less than $10,000
HHWHhGte2Rce_HhLt25y_Usd10kto15k	Households with a householder who is Two or more races: Householder under 25 years: $10,000 to $14,999
HHWHhGte2Rce_HhLt25y_Usd15kto20k	Households with a householder who is Two or more races: Householder under 25 years: $15,000 to $19,999
HHWHhGte2Rce_HhLt25y_Usd20kto25k	Households with a householder who is Two or more races: Householder under 25 years: $20,000 to $24,999
HHWHhGte2Rce_HhLt25y_Usd25kto30k	Households with a householder who is Two or more races: Householder under 25 years: $25,000 to $29,999
HHWHhGte2Rce_HhLt25y_Usd30kto35k	Households with a householder who is Two or more races: Householder under 25 years: $30,000 to $34,999
HHWHhGte2Rce_HhLt25y_Usd35kto40k	Households with a householder who is Two or more races: Householder under 25 years: $35,000 to $39,999
HHWHhGte2Rce_HhLt25y_Usd40kto45k	Households with a householder who is Two or more races: Householder under 25 years: $40,000 to $44,999
HHWHhGte2Rce_HhLt25y_Usd45kto50k	Households with a householder who is Two or more races: Householder under 25 years: $45,000 to $49,999
HHWHhGte2Rce_HhLt25y_Usd50kto60k	Households with a householder who is Two or more races: Householder under 25 years: $50,000 to $59,999
HHWHhGte2Rce_HhLt25y_Usd60kto75k	Households with a householder who is Two or more races: Householder under 25 years: $60,000 to $74,999
HHWHhGte2Rce_HhLt25y_Usd75kto100k	Households with a householder who is Two or more races: Householder under 25 years: $75,000 to $99,999
HHWHhGte2Rce_HhLt25y_Usd100kto125k	Households with a householder who is Two or more races: Householder under 25 years: $100,000 to $124,999
HHWHhGte2Rce_HhLt25y_Usd125kto150k	Households with a householder who is Two or more races: Householder under 25 years: $125,000 to $149,999
HHWHhGte2Rce_HhLt25y_Usd150kto200k	Households with a householder who is Two or more races: Householder under 25 years: $150,000 to $199,999
HHWHhGte2Rce_HhLt25y_Usd200korM	Households with a householder who is Two or more races: Householder under 25 years: $200,000 or more
HHWHhGte2Rce_Hh25to34y	Households with a householder who is Two or more races: Householder 25 to 34 years:
HHWHhGte2Rce_Hh25to34y_LtUsd10k	Households with a householder who is Two or more races: Householder 25 to 34 years: Less than $10,000
HHWHhGte2Rce_Hh25to34y_Usd10kto15k	Households with a householder who is Two or more races: Householder 25 to 34 years: $10,000 to $14,999
HHWHhGte2Rce_Hh25to34y_Usd15kto20k	Households with a householder who is Two or more races: Householder 25 to 34 years: $15,000 to $19,999
HHWHhGte2Rce_Hh25to34y_Usd20kto25k	Households with a householder who is Two or more races: Householder 25 to 34 years: $20,000 to $24,999
HHWHhGte2Rce_Hh25to34y_Usd25kto30k	Households with a householder who is Two or more races: Householder 25 to 34 years: $25,000 to $29,999
HHWHhGte2Rce_Hh25to34y_Usd30kto35k	Households with a householder who is Two or more races: Householder 25 to 34 years: $30,000 to $34,999
HHWHhGte2Rce_Hh25to34y_Usd35kto40k	Households with a householder who is Two or more races: Householder 25 to 34 years: $35,000 to $39,999
HHWHhGte2Rce_Hh25to34y_Usd40kto45k	Households with a householder who is Two or more races: Householder 25 to 34 years: $40,000 to $44,999
HHWHhGte2Rce_Hh25to34y_Usd45kto50k	Households with a householder who is Two or more races: Householder 25 to 34 years: $45,000 to $49,999
HHWHhGte2Rce_Hh25to34y_Usd50kto60k	Households with a householder who is Two or more races: Householder 25 to 34 years: $50,000 to $59,999
HHWHhGte2Rce_Hh25to34y_Usd60kto75k	Households with a householder who is Two or more races: Householder 25 to 34 years: $60,000 to $74,999
HHWHhGte2Rce_Hh25to34y_Usd75kto100k	Households with a householder who is Two or more races: Householder 25 to 34 years: $75,000 to $99,999
HHWHhGte2Rce_Hh25to34y_Usd100kto125k	Households with a householder who is Two or more races: Householder 25 to 34 years: $100,000 to $124,999
HHWHhGte2Rce_Hh25to34y_Usd125kto150k	Households with a householder who is Two or more races: Householder 25 to 34 years: $125,000 to $149,999
HHWHhGte2Rce_Hh25to34y_Usd150kto200k	Households with a householder who is Two or more races: Householder 25 to 34 years: $150,000 to $199,999
HHWHhGte2Rce_Hh25to34y_Usd200korM	Households with a householder who is Two or more races: Householder 25 to 34 years: $200,000 or more
HHWHhGte2Rce_Hh35to44y	Households with a householder who is Two or more races: Householder 35 to 44 years:
HHWHhGte2Rce_Hh35to44y_LtUsd10k	Households with a householder who is Two or more races: Householder 35 to 44 years: Less than $10,000
