Universe	Total population
P004001	0	Percent of the population in sample
Universe	Total population
P005001	0	Total:
P005002	6	Urban:
P005003	8	Inside urbanized areas
P005004	8	Inside urban clusters
P005005	6	Rural:
P005006	8	Farm
P005007	8	Nonfarm
Universe	Total population
P006001	0	Total:
P006002	6	White alone
P006003	6	Black or African American alone
P006004	6	American Indian and Alaska Native alone
P006005	6	Asian alone
P006006	6	Native Hawaiian and Other Pacific Islander alone
P006007	6	Some other race alone
P006008	6	Two or more races
Universe	Total population
P007001	0	Total:
P007002	6	Not Hispanic or Latino:
P007003	8	White alone
P007004	8	Black or African American alone
P007005	8	American Indian and Alaska Native alone
P007006	8	Asian alone
P007007	8	Native Hawaiian and Other Pacific Islander alone
P007008	8	Some other race alone
P007009	8	Two or more races
P007010	6	Hispanic or Latino:
P007011	8	White alone
P007012	8	Black or African American alone
P007013	8	American Indian and Alaska Native alone
P007014	8	Asian alone
P007015	8	Native Hawaiian and Other Pacific Islander alone
P007016	8	Some other race alone
P007017	8	Two or more races
Universe	Total population
P008001	0	Total:
P008002	6	Male:
P008003	8	Under 1 year
P008004	8	1 year
P008005	8	2 years
P008006	8	3 years
P008007	8	4 years
P008008	8	5 years
P008009	8	6 years
P008010	8	7 years
P008011	8	8 years
P008012	8	9 years
P008013	8	10 years
P008014	8	11 years
P008015	8	12 years
P008016	8	13 years
P008017	8	14 years
P008018	8	15 years
P008019	8	16 years
P008020	8	17 years
P008021	8	18 years
P008022	8	19 years
P008023	8	20 years
P008024	8	21 years
P008025	8	22 to 24 years
P008026	8	25 to 29 years
P008027	8	30 to 34 years
P008028	8	35 to 39 years
P008029	8	40 to 44 years
P008030	8	45 to 49 years
P008031	8	50 to 54 years
P008032	8	55 to 59 years
P008033	8	60 and 61 years
P008034	8	62 to 64 years
P008035	8	65 and 66 years
P008036	8	67 to 69 years
P008037	8	70 to 74 years
P008038	8	75 to 79 years
P008039	8	80 to 84 years
P008040	8	85 years and over
P008041	6	Female:
P008042	8	Under 1 year
P008043	8	1 year
P008044	8	2 years
P008045	8	3 years
P008046	8	4 years
P008047	8	5 years
P008048	8	6 years
P008049	8	7 years
P008050	8	8 years
P008051	8	9 years
P008052	8	10 years
P008053	8	11 years
P008054	8	12 years
P008055	8	13 years
P008056	8	14 years
P008057	8	15 years
P008058	8	16 years
P008059	8	17 years
P008060	8	18 years
P008061	8	19 years
P008062	8	20 years
P008063	8	21 years
P008064	8	22 to 24 years
P008065	8	25 to 29 years
P008066	8	30 to 34 years
P008067	8	35 to 39 years
P008068	8	40 to 44 years
P008069	8	45 to 49 years
P008070	8	50 to 54 years
P008071	8	55 to 59 years
P008072	8	60 and 61 years
P008073	8	62 to 64 years
P008074	8	65 and 66 years
P008075	8	67 to 69 years
P008076	8	70 to 74 years
P008077	8	75 to 79 years
P008078	8	80 to 84 years
P008079	8	85 years and over
Universe	Total population
P009001	0	Total:
P009002	6	In households:
P009003	8	In family households:
P009004	10	Householder:
P009005	12	Male
P009006	12	Female
P009007	10	Spouse
P009008	10	Child:
P009009	12	Natural-born
P009010	12	Adopted
P009011	12	Step
P009012	10	Grandchild
P009013	10	Brother or sister
P009014	10	Parent
P009015	10	Other relatives
P009016	10	Nonrelatives
P009017	8	In nonfamily households:
P009018	10	Male householder:
P009019	12	Living alone
P009020	12	Not living alone
P009021	10	Female householder:
P009022	12	Living alone
P009023	12	Not living alone
P009024	10	Nonrelatives
P009025	8	In group quarters:
P009026	10	Institutionalized population
P009027	10	Noninstitutionalized population
Universe	Households
P010001	0	Total:
P010002	6	1-person household:
P010003	8	Male householder
P010004	8	Female householder
P010005	6	2-or-more-person household:
P010006	8	Family households:
P010007	10	Married-couple family:
P010008	12	With own children under 18 years
P010009	12	No own children under 18 years
P010010	10	Other family:
P010011	12	Male householder, no wife present:
P010012	14	With own children under 18 years
P010013	14	No own children under 18 years
P010014	12	Female householder, no husband present:
P010015	14	With own children under 18 years
P010016	14	No own children under 18 years
P010017	8	Nonfamily households:
P010018	10	Male householder
P010019	10	Female householder
Universe	Population 65 years and over
P011001	0	Total:
P011002	6	In households:
P011003	8	In family households:
P011004	10	Householder:
P011005	12	Male
P011006	12	Female
P011007	10	Spouse
P011008	10	Parent
P011009	10	Other relatives
P011010	10	Nonrelatives
P011011	8	In nonfamily households:
P011012	10	Male householder:
P011013	12	Living alone
P011014	12	Not living alone
P011015	10	Female householder:
P011016	12	Living alone
P011017	12	Not living alone
P011018	10	Nonrelatives
P011019	6	In group quarters:
P011020	8	Institutionalized population
P011021	8	Noninstitutionalized population
Universe	Households
P012001	0	Total:
P012002	6	Householder 15 to 64 years:
P012003	8	Family households:
P012004	10	Married-couple family:
P012005	12	With own children under 18 years
P012006	12	No own children under 18 years
P012007	10	Other family:
P012008	12	Male householder, no wife present:
P012009	14	With own children under 18 years
P012010	14	No own children under 18 years
P012011	12	Female householder, no husband present:
P012012	14	With own children under 18 years
P012013	14	No own children under 18 years
P012014	8	Nonfamily households:
P012015	10	Householder living alone
P012016	10	Householder not living alone
P012017	6	Householder 65 years and over:
P012018	8	Family households:
P012019	10	Married-couple family:
P012020	12	With own children under 18 years
P012021	12	No own children under 18 years
P012022	10	Other family:
P012023	12	Male householder, no wife present:
P012024	14	With own children under 18 years
